LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_ADDRESS,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_SOC_NAME,LCA_CASE_JOB_TITLE,FULL_TIME_POS,TOTAL_WORKERS,LCA_CASE_WORKLOC1_CITY,LCA_CASE_WORKLOC1_STATE,LCA_CASE_WORKLOC2_CITY,LCA_CASE_WORKLOC2_STATE
ADRIAN SMITH + GORDON GILL ARCHITECTURE LLP,"111 WEST MONROE STREET, SUITE 2300",CHICAGO,IL,60603,"Architects, Except Landscape and Naval",INTERN ARCHITECT,Y,1,CHICAGO,IL,,
DISCOVER PRODUCTS INC.,2500 LAKE COOK ROAD,RIVERWOODS,IL,60015,Statisticians,PROJECT MANAGER ANALYTICS,Y,1,RIVERWOODS,IL,,
"UNITED AIRLINES, INC.",233 SOUTH WACKER DRIVE,CHICAGO,IL,60606,Market Research Analysts and Marketing Specialists,SR. ANALYST - ECOMMERCE STRATEGY AND ANALYSIS,Y,1,CHICAGO,IL,,
OMNI SOLUTION INC.,351 COUNTRY CLUB DR.,BENSENVILLE,IL,60106,"Software Developers, Applications",SOFTWARE ENGINEER,Y,1,BENSENVILLE,IL,,
"INSURANCE AUTO AUCTIONS, INC.",TWO WESTBROOK CORPORATE CENTER,WESTCHESTER,IL,60154,"Software Developers, Applications",DEVELOPER,Y,1,WESTCHESTER,IL,,
"CUSTOMIZED SOLUTIONS, INC.",21266 N. GROVE RD.,KILDEER,IL,60047,Network and Computer Systems Administrators,SENIOR SYSTEMS ARCHITECT,Y,1,LINCOLNSHIRE,IL,,
TCC WIRELESS INC.,565 RANDY ROAD,CAROL STREAM,IL,60188,"Computer Occupations, All Other",INFORMATION TECHNOLOGY PROJECT MANAGER,Y,1,CAROL STREAM,IL,,
"HSHS MEDICAL GROUP, INC",3215 EXECUTIVE DRIVE,SPRINGFIELD,IL,62703,"Physicians and Surgeons, All Other",HOSPITALIST,Y,1,DECATUR,IL,,
"BAY VALLEY FOODS, LLC",2021 SPRING ROAD,OAK BROOK,IL,60523,Purchasing Managers,PROCUREMENT DIRECTOR,Y,1,OAK BROOK,IL,,
HEWITT ASSOCIATES,200 EAST RANDOLPH STREET,CHICAGO,IL,60601,"Software Developers, Applications",IT SENIOR APPLICATION DEVELOPMENT TECHNICAL LEAD,Y,1,LINCOLNSHIRE,IL,,
NUCOR STEEL KANKAKEE,ONE NUCOR WAY,BOURBONNAIS,IL,60914,Electrical Engineers,POWER SYSTEMS ENGINEER,Y,1,BOURBONNAIS,IL,,
"ACCRETIVE HEALTH, INC.",401 N. MICHIGAN AVENUE,CHICAGO,IL,60611,Financial Analysts,FINANCIAL PLANNING AND ANALYSIS MANAGER,Y,1,CHICAGO,IL,COLUMBIA,MD
BOOZ & COMPANY (N.A.) INC.,225 WEST WACKER DRIVE,CHICAGO,IL,60606,Management Analysts,SENIOR ASSOCIATE,Y,1,CHICAGO,IL,,
LTD COMMODITIES LLC,2800 LAKESIDE DRIVE,BANNOCKBURN,IL,60015,"Software Developers, Applications","SENIOR DEVELOPER, ECOMMERCE",Y,1,LINCOLNSHIRE,IL,,
ASTELLAS US LLC,ONE ASTELLAS WAY,NORTHBROOK,IL,60062,"Software Developers, Systems Software","PRINCIPAL ANALYST, IT SAP SECURITY & CONTROLS",Y,1,NORTHBROOK,IL,,
SEARS HOLDINGS MANAGEMENT CORPORATION,3333 BEVERLY ROAD,HOFFMAN ESTATES,IL,60179,"Software Developers, Applications","ARCHITECT, DEVELOPMENT",Y,1,HOFFMAN ESTATES,IL,,
GREENLEE TEXTRON INC.,4455 BOEING DRIVE,ROCKFORD,IL,61109,"Managers, All Other",PLANT MANAGER,Y,1,GENOA,IL,,
SEARS HOLDINGS MANAGEMENT CORPORATION,3333 BEVERLY ROAD,HOFFMAN ESTATES,IL,60179,"Software Developers, Applications","DIRECTOR, ENGINEERING",Y,1,HOFFMAN ESTATES,IL,,
PACTIV LLC,1900 WEST FIELD COURT,LAKE FOREST,IL,60045,Industrial Engineers,EXTRUSION ENGINEER,Y,1,FRANKFORT,IL,,
BENEDICTINE UNIVERSITY,5700 COLLEGE ROAD,LISLE,IL,60532,Executive Secretaries and Executive Administrative,"ASSISTANT TO DEAN, GLOBAL COLLEGE",Y,1,LISLE,IL,,
"IMC AMERICAS, INC.",233 SOUTH WACKER DRIVE,CHICAGO,IL,60606,Financial Analysts,QUANTITATIVE RESEARCH ANALYST,Y,1,CHICAGO,IL,,
WIGHT & COMPANY,2500 N. FRONTAGE ROAD,DARIEN,IL,60561,Cost Estimators,ASSISTANT PROJECT MANAGER,Y,1,DARIEN,IL,,
"HEALTH AND BEAUTY, INC.",617 CENTRAL AVENUE,DEERFIELD,IL,60015,Accountants and Auditors,ACCOUNTANT,N,1,DEERFIELD AVE,IL,,
"GOGO, LLC",1250 N. ARLINGTON HEIGHTS ROAD,ITASCA,IL,60143,Financial Analysts,FINANCIAL ANALYST II,Y,1,ITASCA,IL,,
TELNYX LLC,333 WEST WACKER DRIVE,CHICAGO,IL,60606,Computer Systems Analysts,NETWORK ENGINEER,Y,1,CHICAGO,IL,,
WHEATON COLLEGE,501 COLLEGE AVENUE,WHEATON,IL,60187,Database Administrators,INSTRUCTIONAL SYSTEMS SPECIALIST,Y,1,WHEATON,IL,,
SEARS HOLDINGS MANAGEMENT CORPORATION,3333 BEVERLY ROAD,HOFFMAN ESTATES,IL,60179,"Software Developers, Applications","SENIOR ENGINEER, DEVELOPMENT",Y,1,HOFFMAN ESTATES,IL,,
"COYOTE LOGISTICS, LLC",2545 W. DIVERSEY AVENUE,CHICAGO,IL,60647,"Software Developers, Systems Software",SOFTWARE ENGINEER,Y,1,CHICAGO,IL,,
ELGIN SCHOOL DISTRICT U-46,355 E. CHICAGO STREET,ELGIN,IL,60120,"Teachers and Instructors, All Other",BILINGUAL TEACHER,Y,1,ELGIN,IL,,
NORTHWESTERN UNIVERSITY,630 DARTMOUTH PLACE,EVANSTON,IL,60208,Biochemists and Biophysicists,RESEARCH ASSOCIATE,Y,1,CHICAGO,IL,,
ACCENTURE LLP,161 N. CLARK ST.,CHICAGO,IL,60601,Computer Programmers,COMPUTER PROGRAMMER/CONFIGURER 2,Y,1,LISLE,IL,,
"SAVEN TECHNOLOGIES, INC.",1051 PERIMETER DRIVE,SCHAUMBURG,IL,60173,"Software Developers, Applications",COMPUTER SOFTWARE ENGINEER-APPLICATIONS,Y,1,BARRINGTON,IL,,
THE UNIVERSITY OF CHICAGO,OFFICE OF INTERNATIONAL AFFAIRS,CHICAGO,IL,60637,"Medical Scientists, Except Epidemiologists",POSTDOCTORAL SCHOLAR,Y,1,CHICAGO,IL,,
UNIVERSITY OF ILLINOIS AT CHICAGO,"1200 W. HARRISON ST., 2160 SSB",CHICAGO,IL,60607,Surgeons,ASSISTANT PROFESSOR OF CLINICAL SURGERY/PHYSICIAN,Y,1,CHICAGO,IL,CHICAGO,IL
UNIVERSITY OF ILLINOIS AT CHICAGO,"1200 W. HARRISON ST., 2160 SSB",CHICAGO,IL,60607,Surgeons,ASSISTANT PROFESSOR OF CLINICAL SURGERY/PHYSICIAN,Y,1,CHICAGO,IL,CHICAGO,IL
THE UNIVERSITY OF CHICAGO,OFFICE OF INTERNATIONAL AFFAIRS,CHICAGO,IL,60637,"Biological Scientists, All Other",POSTDOCTORAL SCHOLAR,Y,1,CHICAGO,IL,,
WESTERN ILLINOIS UNIVERSITY,1 UNIVERSITY CIRCLE,MACOMB,IL,61455,"Engineering Teachers, Postsecondary",ASSISTANT PROFESSOR,Y,1,MOLINE,IL,,
NORTHWESTERN UNIVERSITY,630 DARTMOUTH PLACE,EVANSTON,IL,60208,"Medical Scientists, Except Epidemiologists",POSTDOCTORAL FELLOW,Y,1,CHICAGO,IL,,
NORTHWESTERN UNIVERSITY,630 DARTMOUTH PLACE,EVANSTON,IL,60208,Biochemists and Biophysicists,RESEARCH ASSOCIATE,Y,1,CHICAGO,IL,,
ACCENTURE LLP,161 N. CLARK ST.,CHICAGO,IL,60601,Database Administrators,COMPUTER SPECIALIST/SYSTEM SUPPORT AND DEVELOPMENT,Y,1,CHICAGO,IL,,
"UCHICAGO ARGONNE, LLC",9700 SOUTH CASS AVENUE,LEMONT,IL,60439,"Electrical Engineers, R&D",COMPUTATIONAL ENGINEER,Y,5,LEMONT,IL,,
LEX NIMBLE SOLUTIONS INC,10 N MARTINGALE ROAD,SCHAUMBURG,IL,60173,Computer Programmers,PROGRAMMER ANALYST,Y,1,SCHAUMBURG,IL,MALVERN,PA
ZEBRA TECHNOLOGIES CORPORATION,"475 HALF DAY ROAD, SUITE #500",LINCOLNSHIRE,IL,60069,Database Administrators,ORACLE DATABASE ADMINISTRATOR III,Y,1,LINCOLNSHIRE,IL,,
"SOLSTICE CONSULTING, LLC","111 N. CANAL, 5TH FLOOR",CHICAGO,IL,60606,"Software Developers, Applications",TECHNICAL CONSULTANT,Y,1,CHICAGO,IL,,
SUN POWER CONSULTING LLC,920 DAVIS ROAD,ELGIN,IL,60123,"Software Developers, Applications",SOFTWARE DEVELOPER,Y,1,CHICAGO,IL,ELGIN,IL
NORTHWESTERN UNIVERSITY,630 DARTMOUTH PLACE,EVANSTON,IL,60208,Biological Technicians,RESEARCH TECHNOLOGIST 2,Y,1,CHICAGO,IL,,
SUN POWER CONSULTING LLC,920 DAVIS ROAD,ELGIN,IL,60123,"Software Developers, Applications",SOFTWARE DEVELOPER,Y,1,CHICAGO,IL,ELGIN,IL
R.R. DONNELLEY & SONS COMPANY,111 S. WACKER,CHICAGO,IL,60606-4301,"Software Developers, Applications",DEVELOPER 3,Y,1,WARRENVILLE,IL,,
"DYNAMIC ENTERPRISE SOLUTIONS, INC.",150 NORTH MARTINGALE ROAD,SCHAUMBURG,IL,60173,Computer Systems Analysts,COMPUTER SYSTEMS ANALYST,Y,1,SCHAUMBURG,IL,GURNEE,IL
"ENTERPRISE SOLUTIONS, INC.","500 EAST DIEHL ROAD, SUITE # 130",NAPERVILLE,IL,60563,Computer Programmers,PROGRAMMER ANALYST,Y,2,NAPERVILLE,IL,,
"NAVISTAR, INC.",2701 NAVISTAR DRIVE,LISLE,IL,60532,Mechanical Engineers,"PRODUCT DEVELOPMENT ENGINEER, SR.",Y,1,LISLE,IL,MELROSE PARK,IL
NORTHWESTERN UNIVERSITY,630 DARTMOUTH PLACE,EVANSTON,IL,60208,Biochemists and Biophysicists,POSTDOCTORAL FELLOW,Y,1,CHICAGO,IL,,
HARPER OIL CO.,2319 W. JEFFERSON STREET,SPRINGFIELD,IL,62702,Management Analysts,BUSINESS ANALYST,Y,1,SPRINGFIELD,IL,,
FEDERAL HOME LOAN BANK OF CHICAGO,200 E. RANDOLPH DRIVE,CHICAGO,IL,60601,Credit Analysts,SENIOR CREDIT ANALYST,Y,1,CHICAGO,IL,,
GANTEC CORPORATION,1111 PLAZA DRIVE,SCHAUMBURG,IL,60173,"Software Developers, Applications",SOFTWARE ENGINEER,Y,1,SCHAUMBURG,IL,HOFFMAN ESTATES,IL
"COMPUSYSTEMS, INC.",2805 S. 25TH AVENUE,BROADVIEW,IL,60155,"Software Developers, Systems Software",JAVA DEVELOPER / J2EE WEB DEVELOPER,Y,1,BROADVIEW,IL,,
"SV SYSTEMS, INC.",4300 COMMERCE CT,LISLE,IL,60532,"Software Developers, Applications",SENIOR SOFTWARE QUALITY ASSURANCE ENGINEER,Y,1,BLOOMINGTON,IL,,
"THOUGHTWORKS, INC.",200 RANDOLPH ST,CHICAGO,IL,60601,"Software Developers, Applications","SOFTWARE DEVELOPERS, APPLICATIONS",Y,1,SAN ANTONIO,IL,CHICAGO,IL
DFS CORPORATE SERVICES LLC,2500 LAKE COOK ROAD,RIVERWOODS,IL,60015,"Software Developers, Applications",LEAD J2EE WEB DEVELOPER,Y,1,RIVERWOODS,IL,,
"SHC DIRECT, L.L.C. D/B/A INTE Q","1815 S. MEYERS ROAD, SUITE 300",OAKBROOK TERRACE,IL,60181,Computer Systems Analysts,"LEAD ANALYST, ENTERPRISE APPLICATIONS SUITE",Y,1,OAKBROOK TERRACE,IL,,
EXCALIBUR TECHNOLOGY CORP.,700 FOX GLEN,BARRINGTON,IL,60010,Network and Computer Systems Administrators,NETWORK OPERATIONS / QUALITY CONTROL ENGINEER,Y,1,BARRINGTON,IL,,
"GOLDEN HEART HOME HEALTH, INC.",10700 W. HIGGINS RD,ROSEMONT,IL,60018,Medical and Health Services Managers,DIRECTOR OF CLINICAL SERVICES,Y,1,ROSEMONT,IL,,
DISCOVER PRODUCTS INC.,2500 LAKE COOK ROAD,RIVERWOODS,IL,60015,Statisticians,"CONSULTANT, ANALYTICS",Y,1,RIVERWOODS,IL,,
GRAINGER MANAGEMENT LLC,100 GRAINGER PARKWAY,LAKE FOREST,IL,60045,"Software Developers, Applications",WEB APPLICATION DEVELOPER,Y,1,LAKE FOREST,IL,,
ENTELLI CONSULTING LLC,4801 EMERSON AVENUE,PALATINE,IL,60067,Computer Programmers,SENIOR PROGRAMMER ANALYST,Y,1,CHICAGO,IL,,
"US SOFTWARE PROFESSIONALS NETWORK, INC",1717 PARK STREET,NAPERVILLE,IL,60563,Computer Programmers,COMPUTER PROGRAMMER,Y,1,NAPERVILLE,IL,,
MCGLADREY LLP,ONE SOUTH WACKER DRIVE,CHICAGO,IL,60606,Financial Managers,PERFORMANCE IMPROVEMENT CONSULTING SUPERVISOR,Y,1,CHICAGO,IL,,
THE NORTHERN TRUST COMPANY,50 S. LASALLE STREET,CHICAGO,IL,60603,"Financial Specialists, All Other","SENIOR CONSULTANT, RISK ANALYTICS",Y,1,CHICAGO,IL,,
LEX NIMBLE SOLUTIONS INC.,10 N. MARTINGALE ROAD SUITE 400,SCHAUMBURG,IL,60173,Computer Programmers,PROGRAMMER ANALYST,Y,1,SCHAUMBURG,IL,MURRAY,UT
CATERPILLAR INC,100 NE ADAMS ST.,PEORIA,IL,61629,Mechanical Engineers,ENGINEER-DESIGN,Y,1,PONTIAC,IL,,
"CSG SERVICES, INC.",33 W. MONROE,CHICAGO,IL,60603,Sales Engineers,EXECUTIVE DIRECTOR - SALES,Y,1,CHICAGO,IL,WAYNE,PA
SEARS HOLDINGS MANAGEMENT CORPORATION,3333 BEVERLY ROAD,HOFFMAN ESTATES,IL,60179,Marketing Managers,"DIRECTOR, ONLINE MARKETING",Y,1,HOFFMAN ESTATES,IL,,
CAPGEMINI FINANCIAL SERVICES USA INC,6400 SHAFER COURT,ROSEMONT,IL,60018,Computer Systems Analysts,SENIOR CONSULTANT,Y,3,CHICAGO,IL,ROSEMONT,IL
"PROGNOS, INC.","1011 LAKE ST., SUITE 212",OAK PARK,IL,60301,Statisticians,ANALYTICAL CONSULTANT,Y,1,OAK PARK,IL,,
"HOSPIRA, INC.",275 NORTH FIELD DRIVE,LAKE FOREST,IL,60045,"Software Developers, Applications",CMS DEVELOPER,Y,1,LAKE FOREST,IL,,
CAPGEMINI FINANCIAL SERVICES USA INC,6400 SHAFER COURT,ROSEMONT,IL,60018,"Software Developers, Applications",SENIOR CONSULTANT,Y,7,RIVERWOODS,IL,ROSEMONT,IL
GOOD SAMARITAN REGIONAL HEALTH CENTER,1 GOOD SAMARITAN WAY,MT. VERNON,IL,62864,"Physicians and Surgeons, All Other",HOSPITALIST,Y,1,MT. VERNON,IL,,
"NETRA TECHNOLOGIES, INC.",40 SHUMAN BOULEVARD,NAPERVILLE,IL,60563,Database Administrators,DATABASE ADMINISTRATOR,Y,1,EAST PEORIA,IL,DES PLAINES,IL
ACCENTURE LLP,161 N. CLARK ST.,CHICAGO,IL,60601,Computer Programmers,COMPUTER PROGRAMMER/CONFIGURER 2,Y,1,OAKBROOK TERRACE,IL,,
"ARCUS TECHNOLOGIES, INC.",855 EAST GOLF RD.,ARLINGTON HEIGHTS,IL,60005,"Software Developers, Applications",LEAD CONSULTANT,Y,1,ARLINGTON HEIGHTS,IL,,
"ACCURATE GROUP, INC.",101 SCHELTER ROAD,LINCOLNSHIRE,IL,60069,Computer Programmers,PROGRAM/PROJECT (QA) MANAGER,Y,1,CHICAGO,IL,,
TRANSUNION LLC,555 W ADAMS,CHICAGO,IL,60661,"Software Developers, Applications",SENIOR DEVELOPER,Y,1,CHICAGO,IL,,
"MARKETING ALTERNATIVES, INC.",2550 NORTHWEST PARKWAY,ELGIN,IL,60124,"Software Developers, Applications",SOFTWARE ENGINEER,Y,1,ELGIN,IL,,
"A. EPSTEIN AND SONS INTERNATIONAL, INC.",600 WEST FULTON STREET,CHICAGO,IL,60661,Mechanical Engineers,SENIOR MECHANICAL DESIGN ENGINEER,Y,1,CHICAGO,IL,,
CATERPILLAR INC,100 NE ADAMS ST.,PEORIA,IL,61629,Mechanical Engineers,SENIOR ENGINEER- DESIGN,Y,1,EAST PEORIA,IL,,
CAPGEMINI FINANCIAL SERVICES USA INC,6400 SHAFER COURT,ROSEMONT,IL,60018,Computer and Information Systems Managers,MANAGER,Y,2,METTAWA,IL,ROSEMONT,IL
MEMORIAL HOSPITAL,1454 N. CO. RD 2050,CARTHAGE,IL,62321,Medical and Clinical Laboratory Technologists,MEDICAL TECHNOLOGIST,Y,1,CARTHAGE,IL,,
"CARESOFT GLOBAL, INC.","16W 273, 83RD STREET",BURR RIDGE,IL,60527,Industrial Engineers,DESIGN ENGINEER,Y,1,BURR RIDGE,IL,STURTEVANT,WI
JPMORGAN CHASE & CO.,10 S. DEARBORN STREET,CHICAGO,IL,60603,Financial Analysts,"ASSOCIATE, DIVERSIFIED INDUSTRIES, INVESTMENT BANK",Y,1,CHICAGO,IL,,
CHICAGO STATE UNIVERSITY,9501 SOUTH KING DRIVE,CHICAGO,IL,60628-1598,Coaches and Scouts,ASSISTANT TENNIS COACH,Y,1,CHICAGO,IL,,
VERINON TECHNOLOGY SOLUTIONS LTD,3395 NORTH ARLINGTON HEIGHTS ROAD,ARLINGTON HEIGHTS,IL,60004,"Software Developers, Applications",PROGRAMMER APPLICATIONS/JAVA,Y,1,ARLINGTON HEIGHTS,IL,ALBANY,NY
"MURPHY/JAHN ARCHITECTS, LLC",35 E WACKER DR,CHICAGO,IL,60601,"Architects, Except Landscape and Naval",INTERN ARCHITECT,Y,1,CHICAGO,IL,,
